#
# The Tor Project
#
# URL: https://metrics.torproject.org/bandwidth.csv?start=2024-05-01&end=2024-05-31
#
date,advbw,bwhist
2024-05-01,622.97700912,316.215832332
2024-05-02,626.947717472,320.124385884
2024-05-03,632.546789176,321.417568108
2024-05-04,632.545334768,319.788234108
2024-05-05,631.491456208,331.510369212
2024-05-06,633.99113244,355.770954944
2024-05-07,642.133480872,350.477313924
2024-05-08,659.33424176,346.888464544
2024-05-09,667.523123344,339.294272712
2024-05-10,670.850772264,327.353146548
2024-05-11,670.36934932,328.930783388
2024-05-12,669.01920356,330.268357648
2024-05-13,665.180027448,347.335317456
2024-05-14,662.717544168,376.377254044
2024-05-15,679.30880512,371.684243752
2024-05-16,681.300644408,363.66615796
2024-05-17,685.019250176,338.733111692
2024-05-18,693.095335624,335.375040276
2024-05-19,695.295203896,325.808860044
2024-05-20,684.273171584,321.478784852
2024-05-21,680.374404856,318.368062664
2024-05-22,671.71141184,317.372004068
2024-05-23,653.503502784,318.593008196
2024-05-24,640.46394828,319.758647672
2024-05-25,647.3022616,318.04484316
2024-05-26,643.775388912,318.384161388
2024-05-27,639.797886608,318.4063238
2024-05-28,639.86652968,316.398171452
2024-05-29,633.681850488,316.184433052
2024-05-30,610.200645248,317.492888316
2024-05-31,624.12082368,325.311828536
